instrument,class,adduct,fragment,ParKey,ParValue
MS:1002791,"11,12-DHET",[M-H]1-,m/z 149.0973,shift,9.368970433
MS:1002523,"11,12-DHET",[M-H]1-,m/z 167.1079,meanlog,3.995460072
MS:1002523,"11,12-DHET",[M-H]1-,m/z 167.1079,model,dlnormPar
MS:1002523,"11,12-DHET",[M-H]1-,m/z 167.1079,scale,0.452937338
MS:1002523,"11,12-DHET",[M-H]1-,m/z 167.1079,sdlog,0.253079455
MS:1002523,"11,12-DHET",[M-H]1-,m/z 167.1079,shift,15.73854732
MS:1002791,"11,12-DHET",[M-H]1-,m/z 167.1079,meanlog,3.610583863
MS:1002791,"11,12-DHET",[M-H]1-,m/z 167.1079,model,dlnormPar
MS:1002791,"11,12-DHET",[M-H]1-,m/z 167.1079,scale,0.361114199
MS:1002791,"11,12-DHET",[M-H]1-,m/z 167.1079,sdlog,0.241978831
MS:1002791,"11,12-DHET",[M-H]1-,m/z 167.1079,shift,12.99248747
MS:1002523,"11,12-DHET",[M-H]1-,m/z 169.1236,meanlog,3.947620593
MS:1002523,"11,12-DHET",[M-H]1-,m/z 169.1236,model,dlnormPar
MS:1002523,"11,12-DHET",[M-H]1-,m/z 169.1236,scale,0.064284786
MS:1002523,"11,12-DHET",[M-H]1-,m/z 169.1236,sdlog,0.174815231
MS:1002523,"11,12-DHET",[M-H]1-,m/z 169.1236,shift,20.39899458
MS:1002791,"11,12-DHET",[M-H]1-,m/z 169.1236,meanlog,3.51401109
MS:1002791,"11,12-DHET",[M-H]1-,m/z 169.1236,model,dlnormPar
MS:1002791,"11,12-DHET",[M-H]1-,m/z 169.1236,scale,0.051242716
MS:1002791,"11,12-DHET",[M-H]1-,m/z 169.1236,sdlog,0.211416831
MS:1002791,"11,12-DHET",[M-H]1-,m/z 169.1236,shift,13.19727746
MS:1002523,"11,12-DHET",[M-H]1-,m/z 197.1185,meanlog,3.786120114
MS:1002523,"11,12-DHET",[M-H]1-,m/z 197.1185,model,dlnormPar
MS:1002523,"11,12-DHET",[M-H]1-,m/z 197.1185,scale,0.037747965
MS:1002523,"11,12-DHET",[M-H]1-,m/z 197.1185,sdlog,0.232363243
MS:1002523,"11,12-DHET",[M-H]1-,m/z 197.1185,shift,11.12793992
MS:1002791,"11,12-DHET",[M-H]1-,m/z 197.1185,meanlog,5.533359572
MS:1002791,"11,12-DHET",[M-H]1-,m/z 197.1185,model,dlnormPar
MS:1002791,"11,12-DHET",[M-H]1-,m/z 197.1185,scale,0.027614808
MS:1002791,"11,12-DHET",[M-H]1-,m/z 197.1185,sdlog,0.025955127
MS:1002791,"11,12-DHET",[M-H]1-,m/z 197.1185,shift,232.8771096
MS:1002523,"11,12-DHET",[M-H]1-,m/z 319.2281,meanlog,5.612467062
MS:1002523,"11,12-DHET",[M-H]1-,m/z 319.2281,model,dlnormPar
MS:1002523,"11,12-DHET",[M-H]1-,m/z 319.2281,scale,0.03339131
MS:1002523,"11,12-DHET",[M-H]1-,m/z 319.2281,sdlog,0.026759589
